fail 1623
brawn 7327
medler 9751
advocate 2473
drum 1428
misleading 9837
success 1477
whipp 6577
sudden 931
one 83
equall 8396
confession 2850
easily 2895
withholds 6593
stopp'd 6323
franklins 8708
herbert 4229
discredited 8142
dews 5271
malicious 5804
purses 4480
hiding 9071
fortunes 1523
haven 5597
instructed 5699
great 178
walking 6554
dumps 5336
assured 1721
soul 227
brandon 3907
sun 382
resort 3645
throngs 6418
services 1568
standing 1573
with't 4766
former 1281
conclude 2523
entrails 3376
ill-dispersing 9198
harvest-man 8984
spy 2146
officers 2355
habiliments 5578
antium 2787
bid 296
thunder 1581
'your 4818
bases 7084
darraign 7964
conduit 5133
pink 5982
misty 9858
cato 7496
idolatry 9193
desolation 8071
lingering 5776
nayward 9939
owed 5922
frightful 8730
child-bed 7557
l 9446
ship 1382
commend 982
waken 4737
howsoe'er 9155
priami 6027
courtier 2533
visage 2179
head-stall 9006
accused 1709
dearest 2037
misdeed 9826
belongings 7171
grant 749
hound 5638
escapes 8400
handkerchers 8965
mirthful 9813
such 120
deadly 1026
curl 7926
male 4337
notice 2113
unlawful 3767
award 7036
constantly 7758
foeman 8640
honester 9110
hawthorn-bush 9000
wouldst 851
sigeia 6238
answer 327
chosen 2512
fry 8743
gosling 8866
proves 6059
bristol 3913
hinds 9083
royal 357
stamp 1816
blench 4991
battlements 4951
descends 8063
clipping 7620
drooping 4082
hitherto 9087
haggard 5581
dates 5225
meek 9753
't 121
galleys 8766
choose 910
chafed 3939
corporal 7816
lop 9602
thrown 3152
herbs 3443
groom 2073
wrath 1484
descried 5256
begetting 4960
stir 901
surplus 6369
hilt 5619
lent 1921
sending 4552
entail 5374
roots 6163
staggers 6298
choosing 5088
ill-divining 9199
eleven 2054
comb 7655
highest 4232
warlike 1834
taming-school 6391
coriolanus 159
disprove 8180
brooks 5028
distemperature 8189
angle 4882
dissembler 8183
uncle 435
delays 8028
larks 9479
flavius 5456
hewing 9068
finding 4154
loving 660
peremptory 3575
bond 2500
meet'st 9755
asunder 4917
banish 524
know 102
wench 1200
conceive 2032
wax 4747
victors 6538
maria 9694
allaying 4872
contented 1611
supper-time 4641
offended 1782
dangling 7957
bats 3871
dido 2274
barthol'mew 7081
highway 3447
breton 5021
strongly 3710
makest 5800
modesty 2107
embassade 8330
endeavour 8356
intelligencing 9316
something 617
will't 2191
leanness 4305
gate 1526
panting 5931
cites 7595
caps 2249
mightst 2342
interred 9333
accounted 4833
parcels 5934
inky 9294
proveth 6060
cracks 5186
childhood 7559
martyr 9712
all-souls 3832
infant 2316
confessed 5135
mock 807
iv 260
dreamt 2890
prompt 4470
forlorn 4169
hums 9167
contracted 5154
doubtless 4078
dejected 8026
rosemary 4534
ha't 4211
ring 1671
mouse 3537
pieced 5973
buz 7412
brown 2242
pair 1454
orb 5909
changing 2837
annoyance 6917
tumble 6461
holiness 9103
near-legged 9941
bedaub 7130
aspect 2485
boon 3267
colliers 7650
beguiled 3256
he'ld 3435
becoming 7124
deed 595
commoners 7682
lectures 5760
gainsays 8761
usurp 1196
complexion 2522
bleeds 3262
let't 9529
suggested 6357
boxes 7320
hard 914
exceed 4122
soften 4586
blown 2498
souls 681
aboding 6755
drag 5321
party 1179
unstain 6507
hang 710
performed 5961
justify't 9413
deck 2041
alarums 4869
replied 3637
draught 8240
graceless 5547
edge 2053
strengths 6335
by-gone 5043
business 393
countess 7842
letting 5767
worse 650
'celsa 4784
deflowered 8020
'dove 6640
instigation 5697
read 646
mothers 3013
twenty 605
stabb 1815
harts 8983
keen 4288
executioners 8429
moe 3009
appearance 6936
nice 3552
imp 9216
grumble 8927
unwieldy 4718
wormwood 6601
heard 317
appertaining 6942
new-made 3551
learn'd 9510
dorset 986
posterity 3594
usurping 2749
vein 6529
mood 5851
fellowship 5436
provoke 4473
exceptions 8424
hailed 8944
target 6393
extempore 5405
dim 2879
broking 7363
despite 1276
insatiate 5693
experienced 5402
fires 1900
captain 1149
receive 1243
gentler 3418
pinch 3584
fiery 1351
expose 8444
deucalion 5267
disadvantage 8122
goblets 8847
wail 1317
expire 8441
cymbals 7938
help'st 9051
apart 2788
bosom 685
courteous 2270
employments 8343
rheum 4522
hoard 9090
parting 1945
suggest 4637
faster 4139
hooks 9121
magistrates 5797
garments 1357
expulsion 8450
throughly 4674
bars 4948
seeks 3099
foremost 5470
swarm 6373
intestate 9337
senate 1469
dear'st 4025
dragon-like 8237
innocents 4268
contrary 1416
baptista 288
amplified 6902
innovator 9297
relieve 4504
forsooth 2923
minstrels 4359
declare 7995
pearl 3040
joyful 1539
seas 1566
fen 4146
blemish 2233
guided 8932
four-score 5490
abjured 6753
didst 543
bechanced 7120
'will't 6727
capel 5054
italy 2090
furrow 8752
clears 7612
informal 9279
piteous 1460
fondly 2577
disperse 4059
traitor 473
matrons 9725
marsh 9707
trembles 3751
wrapt 6603
changes 3292
adultery 6811
meats 9742
downfall 2888
guiltier 5573
hasty-witted 8989
comedy 7661
sinful 6245
bag 7050
empty 1430
enforce 1744
jades 5713
hinder 2946
exultation 8460
demand 1424
reward 1963
new 529
fetch 731
joins 9384
mindless 9797
pillow 5980
anthony 6922
toucheth 4681
wings 1323
finest 5447
councils 3319
extremity 2061
insolence 3474
plain 923
gainsay 5514
abilities 6750
furze 8753
graceful 5546
neglect 3550
and 4
docks 8213
withal 638
bethought 7202
sometime 1186
pence 5955
bits 4983
characters 5078
expiration 8440
disinherited 4056
neighbour-stained 9953
chastise 7535
volsces 1132
